Model,Accuracy,Precision (macro),Recall (macro),F1 (macro),Train (s),Predict (s)
SVM,0.8096828046744574,0.8020438865197373,0.7985727261725565,0.7987301768534757,0.03926373300004116,0.0005905719999645953
Naive Bayes,0.7579298831385642,0.7599561801020394,0.7342600788933716,0.7214185845764792,0.00544120600000042,0.0005247889999964173
