Model,Accuracy,Precision (macro),Recall (macro),F1 (macro),Train (s),Predict (s)
SVM,0.8948199620972836,0.7939492906307066,0.680133528890102,0.6981279782678795,0.10172999799999616,0.0008667510000464063
Naive Bayes,0.8698673404927353,0.5809079898117995,0.6136612046249552,0.5955574904762115,0.00553266800000074,0.0007528480000473792
